val_mIoU,val_F1,val_OA,epoch,step,train_mIoU,train_F1,train_OA
,,,50,16064,0.7594958655891655,0.8621990096079677,0.8557734244582125
0.5407687365983691,0.6844271279402003,0.7322189612626602,51,16379,,,
,,,51,16379,0.7570424221265832,0.8605857332858229,0.856451827504404
0.5522811385885456,0.7005443675800782,0.7295618314845946,52,16694,,,
,,,52,16694,0.7674000405719054,0.8673022513647901,0.8613459714140757
0.5582255039262125,0.7050357285643956,0.7367325128171278,53,17009,,,
,,,53,17009,0.768911764775054,0.8684029956704573,0.8628093108499165
0.561777246158172,0.710010567762537,0.7379516939730418,54,17324,,,
,,,54,17324,0.7643598153626715,0.8654069332214407,0.8599693789026899
0.5542715283135614,0.7013296336579931,0.7342744354057601,55,17639,,,
,,,55,17639,0.7658764580589814,0.8662780403964346,0.8615634505996289
0.5543263303724066,0.7022772086064992,0.7330996248511412,56,17954,,,
,,,56,17954,0.7691722058452648,0.8685369845329044,0.863457875723183
0.5550624150819463,0.7021465351277283,0.733562364173243,57,18269,,,
,,,57,18269,0.7675360798266684,0.8674785872339903,0.8614584056620631
0.5612208334212743,0.7089237092650515,0.7373781030696267,58,18584,,,
,,,58,18584,0.7742346439772572,0.8718475507050414,0.8651302411680089
0.5568068783352611,0.7053423385254796,0.7306734563532106,59,18899,,,
,,,59,18899,0.7757652418274681,0.8727088455940775,0.8665106434217682
0.5563422353154258,0.7041261315759374,0.7363172295475329,60,19214,,,
,,,60,19214,0.7726188100685907,0.870710256883674,0.8654377034349144
0.5399407453750166,0.6850012636253187,0.728737999517713,61,19529,,,
,,,61,19529,0.77246716468157,0.8705654508531694,0.8650041958814667
0.5643450643431481,0.7127759373233606,0.7355996667189004,62,19844,,,
,,,62,19844,0.7751540063898281,0.8724372396306154,0.8661245208278341
0.5542634083280246,0.7037703410266913,0.7252767405779306,63,20159,,,
,,,63,20159,0.7769789328797809,0.8736060599191287,0.8676775689437854
0.5538064297833654,0.7014845925694468,0.731226380545616,64,20474,,,
,,,64,20474,0.7780275084539248,0.8741763432209999,0.869574678426655
0.5603230583992348,0.7088042464817493,0.7340977407455693,65,20789,,,
,,,65,20789,0.7764606803236385,0.8732219175384552,0.8687578410760493
0.5554655622888438,0.7040419580006356,0.7298277112463232,66,21104,,,
,,,66,21104,0.780785444903382,0.8760081754052996,0.8701774319979314
0.5558608987226232,0.7034153186551744,0.7322351780203142,67,21419,,,
,,,67,21419,0.7824605089641563,0.8770150009604332,0.8713152177412655
0.5499753231472024,0.6980129271216973,0.7277339241449362,68,21734,,,
,,,68,21734,0.7808931960906205,0.8759121602438974,0.8714623810615815
0.555206454275373,0.704493982802908,0.7272255138387606,69,22049,,,
,,,69,22049,0.7794840923910235,0.8751076643739555,0.8700097610165627
0.5552671144455411,0.7022877775181138,0.7332789802871184,70,22364,,,
,,,70,22364,0.7812753013757903,0.8762360165696348,0.8698720374624417
0.5501752854532732,0.6989416918296454,0.7234109341974863,71,22679,,,
,,,71,22679,0.7844662873327211,0.8782591548913699,0.8731137537496256
0.5525973305380579,0.699514401805049,0.7299973500859374,72,22994,,,
,,,72,22994,0.7835515422431676,0.8777152577957186,0.8718678482992924
0.5560569264566619,0.7032828805804772,0.733733181529989,73,23309,,,
,,,73,23309,0.7825845376505134,0.8770505856539381,0.8723190919090305
0.5597808857780846,0.707394303440819,0.7353993816656624,74,23624,,,
,,,74,23624,0.7818606228159733,0.8767078361709677,0.871652168170384
0.5548967042928281,0.7019733101148614,0.7345952759748542,75,23939,,,
,,,75,23939,0.7877638773960327,0.8804562324018663,0.8735739321529952
0.558782710059813,0.7073322683981558,0.7321105731683941,76,24254,,,
,,,76,24254,0.7916928192589079,0.8828838110754254,0.8765037836728482
0.5525778662084411,0.6995849775161482,0.7336689395125833,77,24569,,,
,,,77,24569,0.7907525351438549,0.8823121626169739,0.8764746566472117
0.5519230135026701,0.6987555731913313,0.7314279933933256,78,24884,,,
,,,78,24884,0.7909024023957261,0.8823848883669412,0.8762976444391047
0.5499028704129221,0.6976610390012059,0.7271186668518821,79,25199,,,
,,,79,25199,0.7910604288817911,0.8824390490327854,0.8761655089082069
0.5573794510719913,0.7052098666104762,0.7336748429925686,80,25514,,,
,,,80,25514,0.7923510131202687,0.8833087331834317,0.87819514743926
0.5542337584930715,0.7011723164085591,0.7349926808018281,81,25829,,,
,,,81,25829,0.7920212537760805,0.8829826976418266,0.8767898803972916
0.5550654982342846,0.702803312511092,0.7317358226812066,82,26144,,,
,,,82,26144,0.7921996259159065,0.8830701821659094,0.8781252360622924
0.5546176769871318,0.7021751734311419,0.7322007284715666,83,26459,,,
,,,83,26459,0.7896999187823839,0.8816041885504149,0.8760376057035454
0.5557596952802666,0.7039863917369837,0.7322029262299175,84,26774,,,
,,,84,26774,0.7905929468167193,0.8820555771426369,0.8773134650168737
0.5550203906638073,0.7028379637937732,0.7330008369214918,85,27089,,,
,,,85,27089,0.793686692487948,0.8840783990360881,0.8790075786035421
0.5592629735342299,0.707251835012786,0.734008593925602,86,27404,,,
,,,86,27404,0.79259221669426,0.8833824970094317,0.8773353545010663
0.5556406142938214,0.7034246926673441,0.7328612407762315,87,27719,,,
,,,87,27719,0.790713867482812,0.8822249852825014,0.8776456048800387
0.5534142066970109,0.7011492745282204,0.7320379797296621,88,28034,,,
,,,88,28034,0.7890778928748667,0.8811440758082407,0.8762840175553439
0.5531036965781231,0.7007665731526915,0.73168569044767,89,28349,,,
,,,89,28349,0.7957743989633261,0.8853199968572107,0.880461469052477
0.5532042722004271,0.7012704955732422,0.7311802029823915,90,28664,,,
,,,90,28664,0.7918500596324909,0.8829404877185826,0.8770160789163969
0.5533765045476609,0.7011344542119694,0.7308471852338198,91,28979,,,
,,,91,28979,0.7902270446249526,0.8818519415478774,0.8769421545994953
0.5537199784797309,0.7013633468091092,0.7310732421611421,92,29294,,,
,,,92,29294,0.7933356687925233,0.8838837867545128,0.8778230793479687
0.5558978510558159,0.7036577086807013,0.7332519568901348,93,29609,,,
,,,93,29609,0.7941752920352345,0.8843900026202154,0.8791180773948718
0.5539437262743603,0.7020185262577123,0.7306594519175537,94,29924,,,
,,,94,29924,0.7933216084222117,0.8839295388727836,0.878424115606035
0.5542287645027928,0.7024546268936963,0.7307846541450682,95,30239,,,
,,,95,30239,0.7920530420719005,0.8830802951286627,0.8767538231143803
0.5561368623670946,0.7036456339073347,0.7330140595425229,96,30554,,,
,,,96,30554,0.7953593604137017,0.8850826920123378,0.8789802953773598
0.5535485781898335,0.7011007244821157,0.7311609569960107,97,30869,,,
,,,97,30869,0.7956513563862344,0.8852534716180289,0.8804384832801302
0.5541397158983362,0.7020674675518934,0.7308822805602,98,31184,,,
,,,98,31184,0.7933774104104662,0.883822371435754,0.877753807531104
0.5534511913562185,0.7013283606253891,0.7309881918708674,99,31499,,,
,,,99,31499,0.7913799861362958,0.8826013812788517,0.8776314268809702
